"Group","SampID","Type..sediment.or.soil.","Easting","Northing","Depth_upper_cm","Depth_lower_cm","pH","EC","Sample.ID","Group.1","Sample","ICP.Sample.ID","weight","volume","Al","As","Ba","Ca","Cd","Ce","Co","Cr","Cu","Fe","Gd","K","La","Li","Mg","Mn","Mo","Na","Nd","Ni","P","Pb","S","Sr","Th","V","Y","Zn","Longitude","Latitude"
2,"6S","Sediment",399927,6468136,0,"15",5.58,738,"Group 1 Sample 7",1,"7","ENVT 3361_AR dig_16",0.29,20,27925.553,4.692,73.924,5528.129,0.06,64.463,8.515,52.234,59.852,59782.919,5.018,2820.133,33.233,26.164,5927.74,38.149,4.957,25058.352,27.139,17.051,764.611,39.357,16097.43,149.032,14.561,83.909,15.3,184.605,115.941490604192,-31.9182576441237
2,"7S","Sediment",399913,6468165,0,"15",5.62,739,"Group 1 Sample 8",1,"8","ENVT 3361_AR dig_17",0.33,20,29649.591,4.274,44.419,6204.103,0.054,59.024,6.211,50.493,56.448,37017.459,4.567,2956.635,29.319,30.371,6864.035,34.685,3.871,38663.489,24.686,17.37,457.343,36.077,12093.011,105.371,14.785,69.778,13.812,133.966,115.94134553906,-31.9179948192227
2,"8S","Sediment",399993,6468025,0,"15",5.25,15150,"Group 1  Extra Sample",1,"9","ENVT 3361_AR dig_18",0.322,20,17945.92,6.649,44.748,4698.582,0.263,30.218,16.714,30.93,51.149,135487.912,5.29,2715.108,18.721,16.231,8721.72,50.791,5.135,51441.802,17.006,22.84,698.316,25.241,46640.628,97.547,7.832,62.974,9.939,800.804,115.942177148557,-31.9192647208898
2,"9S","Sediment",400006,6467977,0,"15",6.47,6060,"Group 3 Sample 1",3,"1","ENVT 3361_AR dig_21",0.306,20,23331.767,6.842,32.789,3310.881,0.248,51.885,11.952,36.352,78.596,32906.251,3.899,1381.843,27.081,26.903,3184.052,102.557,2.444,7617.697,20.653,14.781,319.682,39.197,14969.704,44.503,12.558,54.863,14.093,232.561,115.942309680472,-31.9196988441599
2,"10S","Sediment",399973,6468065,0,"15",3.49,10450,"Group 3 Sample 2",3,"2","ENVT 3361_AR dig_22",0.303,20,25080.264,5.257,28.179,1967.335,0.038,51,7.898,34.301,25.742,24377.585,3.697,1265.454,26.422,31.108,2411.947,67.279,1.574,3924.61,19.937,12.259,169.761,23.326,5784.917,29.249,11.339,43.668,13.319,58.959,115.941969760416,-31.9189021440321
3,"1","Sediment",400068,6467981,NA,"",7.54,2656,"Group 3 Sample 3",3,"3","ENVT 3361_AR dig_23",0.298,20,20599.523,8.542,25.878,2624.151,0.189,48.913,16.681,30.599,70.317,47878.077,4.065,1229.532,26.482,23.385,2631.4,114.935,1.712,4204.709,19.342,17.27,340.454,49.879,16081.968,39.301,8.075,48.705,13.229,189.269,115.942965805023,-31.9196682202143
3,"2","Sediment",400086,6467997,NA,"",7.68,1382,"Group 3 Sample 4",3,"4","ENVT 3361_AR dig_24",0.308,20,25170.382,11.524,29.392,2301.389,0.521,55.263,18.459,36.426,217.063,45711.622,4.57,1389.804,28.733,31.412,2808.7,73.26,3.645,5160.563,21.765,17.829,491.941,72.418,10020.455,35.775,10.13,54.903,14.782,403.425,115.943157823424,-31.9195254778328
3,"3","Sediment",400090,6468004,NA,"",8.08,1700,"Group 3 Sample 5",3,"5","ENVT 3361_AR dig_25",0.302,20,28997.365,4.311,35.688,3681.756,0.335,79.507,25.534,49.788,58.086,41722.723,5.596,2055.762,40.984,31.735,3874.593,123.137,2.315,8707.287,31.053,23.49,452.078,48,14245.55,53.173,12.495,68.381,20.693,314.777,115.943200849396,-31.9194626870349
3,"4","Sediment",400101,6468013,NA,"",8.27,1014,"Group 3 Sample 6",3,"6","ENVT 3361_AR dig_26",0.307,20,34925.255,7.388,29.645,1856.582,0.206,65.071,17.971,51.507,48.548,78239.221,6.51,1830.833,28.117,44.037,2932.411,102.066,11.76,5253.353,28.763,22.646,471.519,33.777,3405.122,31.308,14.878,89.329,17.166,164.269,115.943318113343,-31.9193824712437
3,"5","Sediment",400112,6468026,NA,"",7.46,2810,"Group 3 Sample 7",3,"7","ENVT 3361_AR dig_27",0.3,20,31951.596,5.611,27.35,1966.639,0.19,86.938,12.577,47.697,36.531,53068.652,6.279,1571.949,43.627,42.859,2717.251,76.598,11.491,4170.977,32.329,18.663,399.914,30.042,3921.478,33.759,12.866,77.45,25.356,136.362,115.943435789596,-31.9192661737811
