Year,Group,GSample,Type,DepthType,Longitude,Latitude,pH,EC,Al,As,Ba,Ca,Co,Cr,Cu,Fe,K,Li,Mg,Mn,Mo,Na,Ni,P,Pb,S,Sr,V,Zn,REE
2021,ENVT3361.8,8_2,Saltmarsh,Surface,115.9472157,-31.91798947,NA,NA,11846,1.9,25,650,7.7,30.3,15,18393,1077,7.1,999,85.4,0.8,3864,10,117,11.7,610,10.2,41.7,17.8,92.9
2021,ENVT3361.8,8_3,Saltmarsh,Surface,115.94804,-31.91805043,NA,NA,33605,0.9,91,1508,15.5,65.1,59,37789,3496,25.9,3825,212.9,1.3,10544,25,389,33,1998,76.8,78.4,53.5,297.2
2021,ENVT3361.8,8_4,Saltmarsh,Surface,115.9483711,-31.91777351,NA,NA,34097,4.7,108,1536,8.8,61.3,52,35657,3167,24.2,3098,126,2.2,7235,22,539,35.6,1752,109.2,78.5,82.5,269
2021,ENVT3361.9,9_1,Saltmarsh,Surface,115.9462272,-31.9184143,5.78,5.01,21108,5.2,60,1244,11.9,49.3,47,29102,2397,15.7,2789,202.8,1.2,8164,17,294,21.8,843,29,62.3,59.7,159.5
2021,ENVT3361.9,9_2,Saltmarsh,Surface,115.9468389,-31.91857273,6.54,2.03,9425,5.9,17,14827,4.4,26.5,13,16403,796,5.6,1345,55.1,0.3,2640,6,95,9.3,281,47.5,38.8,13,57
2021,ENVT3361.9,9_3,Saltmarsh,Surface,115.9472332,-31.91831438,5.12,12.45,43250,1.8,107,1194,12,66.8,41,35880,4850,51,4127,119.6,1.9,15059,27,377,26.8,3493,178.3,81.9,47.3,314.2
2021,ENVT3361.9,9_4,Saltmarsh,Surface,115.9476008,-31.91854296,4.54,9.23,48186,3.6,77,845,8.8,60.9,28,35598,4177,49.6,2880,39.3,3.1,13224,27,250,21.3,2779,102.8,78.4,17.3,203.2
2021,ENVT3361.9,9_5,Saltmarsh,Surface,115.944892,-31.91863777,5,10.04,37198,5.2,94,1200,7.6,54.1,32,40674,3725,35.2,3358,46.8,2.6,16453,23,399,25.5,3469,121.3,78.2,23.5,377.2
2021,ENVT3361.10,10_1,Saltmarsh,Surface,115.9454088,-31.91876836,5.71,10.4,39826,9.9,61,1957,10.1,71.7,262,42931,3239,31.3,4504,65.8,1.8,13247,24,1533,230.5,2981,50.9,80.7,258,208.4
2021,ENVT3361.10,10_2,Saltmarsh,Surface,115.9458225,-31.91866354,5.81,8.61,39384,4.7,101,1539,10.4,77.5,162,45864,3737,32.9,4381,84,0.9,10994,24,471,60.6,1314,43.4,89.2,131.5,260.9
2021,ENVT3361.10,10_3,Saltmarsh,Surface,115.9458225,-31.91866354,5.72,6.75,36034,7.7,82,2115,18.5,71.5,148,42066,4452,36.2,4831,175.9,1.3,12223,28,662,48.9,1907,53.1,83.9,310.5,250.3
2021,ENVT3361.10,10_4,Saltmarsh,Surface,115.9460656,-31.91867457,6.08,6.33,41347,5.6,92,1340,14.4,77.3,260,48453,3973,33.7,4346,99.6,1.1,9306,26,828,61.9,1167,49.4,83.9,239.2,215.4
2021,ENVT3361.10,10_5,Saltmarsh,Surface,115.9467923,-31.91895124,5.81,7.7,30038,9.8,27,2331,11.8,48.4,88,72469,2851,43,3635,64.8,8.4,8624,16,592,38.3,4623,43,73.5,195.4,272.3
2021,ENVT3361.10,10_6,Saltmarsh,Surface,115.9472902,-31.91888319,6.18,6.55,41776,9.7,96,1601,10.8,79,239,37959,3488,31.1,4586,73.6,1.3,10452,25,718,253.3,1484,42.5,87.4,184.1,211.7
2021,ENVT3361.10,10_7,Saltmarsh,Surface,115.9442843,-31.91905672,NA,NA,35134,2.3,77,1408,16.1,72.7,274,41376,4425,33.9,4577,110.5,1.6,8879,26,664,91.8,1205,39.2,83.6,365.5,211.5
2021,ENVT3361.1,1_1,Saltmarsh,Surface,115.9445347,-31.91936552,5.33,9.43,27243,6.8,72,1914,12.9,62.3,38,37459,3294,21.2,3981,231.1,1.9,11678,23,430,37.4,1640,46.5,82.4,57.6,248.6
2021,ENVT3361.1,1_2,Saltmarsh,Surface,115.9451794,-31.91940696,5.66,9.7,30559,0.9,47,1146,8.1,58,31,35628,3085,29.5,3424,87.6,3.4,12267,19,346,27,1307,32.8,81.2,40.6,228.1
2021,ENVT3361.1,1_3,Saltmarsh,Surface,115.9455279,-31.91945496,5.94,8,30793,3.3,44,1289,8.7,61.2,33,35626,3378,26.5,3261,154.8,2.7,10497,17,302,31.5,1088,31.8,84.7,45.5,221.4
2021,ENVT3361.1,1_4,Saltmarsh,Surface,115.9461098,-31.91944175,5.99,8.78,21642,3,56,1638,8.8,52.4,32,29705,2885,24.5,3053,146.9,2.4,10629,18,324,28,1227,36.1,73.5,42.6,294
2021,ENVT3361.1,1_5,Saltmarsh,Surface,115.9469669,-31.91940375,4.91,8.55,34121,1.3,91,1313,7.2,59.6,40,37687,3744,30,3174,80.9,2.8,10623,20,353,22,3313,100.6,80.1,24.4,254.7
2021,ENVT3361.2,2_1,Saltmarsh,Surface,115.9438228,-31.91964829,5.54,13.97,28369,2.9,49,1890,16.9,62.4,80,36581,3196,22,4496,556.2,1.3,15454,22,477,47.7,1693,41.5,79.1,112,186.1
2021,ENVT3361.2,2_2,Saltmarsh,Surface,115.9451124,-31.91971313,4.97,11.71,29631,1.6,37,632,7.3,56.3,30,42846,2975,34.4,3094,136.7,6.3,13550,14,313,24.7,1434,20.8,92.2,17.6,182.4
2021,ENVT3361.2,2_3,Saltmarsh,Surface,115.9457266,-31.91965508,4.66,15.51,30010,NA,27,662,6.1,54.4,28,34346,2835,29.1,3564,78.3,3.4,14930,14,258,24.8,1550,20.4,83.2,21.7,149.9
2021,ENVT3361.2,2_4,Saltmarsh,Surface,115.9462951,-31.91988533,5.06,12.27,29401,NA,43,823,9.2,58.5,30,37686,2946,29.8,3738,171.9,2.6,13807,17,294,29,1469,27.6,82.4,27.3,261.7
2021,ENVT3361.2,2_5,Saltmarsh,Surface,115.946763,-31.91966367,4.35,12.43,34617,2.8,75,829,9.4,56.9,25,40687,3144,39.1,3179,57.9,2.8,14381,28,289,22,2667,67.5,84.8,21.4,191.4
2021,ENVT4461.1,11_1,Pond_Sed,Surface,115.9443422,-31.91880461,NA,NA,41249,7.3,66,2101,17.1,71.4,654,34296,5265,48.5,5080,74.3,3.6,13831,31,1030,72.9,3653,78.3,79.1,322.8,183.8
2021,ENVT4461.1,11_2,Pond_Sed,Surface,115.9444171,-31.91891348,5.06,8.18,35309,4.7,58,1679,14.6,73.4,221,46610,4816,36.5,4853,83.5,1.5,10754,26,633,71.2,1620,43.8,84.5,335.1,194.1
2021,ENVT4461.1,11_3,Pond_Sed,Surface,115.9444921,-31.91901334,6.22,5.95,39576,NA,101,1855,14,81.5,141,46293,4445,38.1,4891,140.2,1.2,8961,29,546,69.1,910,51.8,93.8,283.4,253.8
2021,ENVT4461.1,11_4,Pond_Sed,Surface,115.9445671,-31.91912222,5.97,8.15,39665,2.8,75,2052,15.1,80.8,185,41907,4975,37.8,5046,111.7,0.8,11841,28,569,89,2037,47.4,87.6,261.6,209.1
2021,ENVT4461.1,11_5,Pond_Sed,Surface,115.944642,-31.91923109,5.86,12.1,34303,4.6,65,2261,11.5,69.5,201,35224,4253,32.3,4984,96.8,1.2,14879,24,753,48.8,2923,47.5,83.6,153.7,182.2
2021,ENVT4461.1,11_6,Drain_Sed,Surface,115.9427098,-31.91708601,5.2,280,888,NA,6,470,12.2,1.8,NA,1562,73,0.5,106,6.9,0.1,61,2,26,4.5,1358,2.3,2.3,825.2,4.8
2021,ENVT4461.2,12_1,Drain_Sed,Surface,115.9428037,-31.91719505,4.74,0.14,2855,0.4,14,843,11.9,4.1,2,4297,215,1.4,280,19.7,0.2,122,3,57,15.5,1782,3.3,5.9,891.5,8.7
2021,ENVT4461.2,12_2,Drain_Sed,Surface,115.9428663,-31.91726774,7.3,0.25,10635,4,16,11933,56.3,11,12,23630,493,1.4,827,263.9,0.6,432,7,361,13.5,1471,29.4,19,2807,40.5
2021,ENVT4461.2,12_3,Drain_Sed,Surface,115.942854,-31.917421,7.35,0.47,12920,5.5,34,21592,56.1,14.5,24,28221,405,2,1276,107.5,0.7,571,13,682,26.7,3591,60.6,16.9,7556.4,57.8
2021,ENVT4461.2,12_4,Drain_Sed,Surface,115.9427998,-31.91753783,6.42,0.77,25844,9,41,8281,63.2,20.2,33,58538,579,2.8,1633,181.7,1.8,1032,17,1052,39.5,4113,48.4,28.4,7035,103.9
2021,ENVT4461.2,12_5,Drain_Sed,Surface,115.9428508,-31.91770063,6.02,0.96,38846,5.2,37,7865,53.5,19.7,28,87955,488,3.1,1499,168.3,3,1102,15,1074,37.2,3826,46.4,34.1,4786.3,145.7
2021,ENVT4461.3,13_1,Drain_Sed,Surface,115.9420935,-31.91918283,6.07,18.19,10390,0.9,19,3841,2.5,20.4,37,9803,1889,11.9,5316,16.1,1.2,22257,8,675,23.1,4634,67.8,24.4,233.5,56.4
2021,ENVT4461.3,13_2,Drain_Sed,Surface,115.9420507,-31.91922758,5.92,21.08,30353,4.4,58,3414,6.8,58.1,63,23624,3669,30,6385,40,2.4,22081,18,545,50.9,10473,88.9,65.4,236.9,148
2021,ENVT4461.3,13_3,Drain_Sed,Surface,115.9420063,-31.91940764,3.16,32.9,19705,7.8,45,3594,17.5,42.2,79,69281,3296,23.1,7116,78.4,6.4,37420,18,466,32.9,64085,84.6,73.9,873.4,129.8
2021,ENVT4461.3,13_4,Drain_Sed,Surface,115.9450857,-31.91922,4.82,31.3,28640,4.2,39,2842,6.8,56.8,59,27317,3759,29.1,6439,38.4,2.7,26085,17,410,31.1,11980,64.4,66.5,291.6,133.1
